"g_id","g_link"
"213661","https://store.steampowered.com/app/213661/Dwarfs__F2P_Skirmish_Pack/?snr=1_241_4_casual_104_1450"
"213662","https://store.steampowered.com/app/213662/Dwarfs__F2P_Difficulty_Pack/?snr=1_241_4_casual_104_1533"
"213663","https://store.steampowered.com/app/213663/Dwarfs__F2P_Endless_Mode_Pack/?snr=1_241_4_casual_104_1513"
"213664","https://store.steampowered.com/app/213664/Dwarfs__F2P_Summer_Carnival_Pack/?snr=1_241_4_casual_104_1551"
"213665","https://store.steampowered.com/app/213665/Dwarfs__F2P_Base_Defend_Pack/?snr=1_241_4_casual_104_1517"
"214100","https://store.steampowered.com/app/214100/Rigonauts/?snr=1_241_4_casual_104_643"
"218980","https://store.steampowered.com/app/218980/Patterns/?snr=1_241_4_casual_104_961"
"220285","https://store.steampowered.com/app/220285/Farming_Simulator_2013_Ursus/?snr=1_241_4_casual_104_597"
"222041","https://store.steampowered.com/app/222041/Rocksmith__Rush__YYZ/?snr=1_241_4_casual_104_1224"
"222042","https://store.steampowered.com/app/222042/Rocksmith__Rush__Red_Barchetta/?snr=1_241_4_casual_104_1437"
"222043","https://store.steampowered.com/app/222043/Rocksmith__Rush__Subdivisions/?snr=1_241_4_casual_104_1491"
"222050","https://store.steampowered.com/app/222050/Rocksmith__Parliament__Give_Up_the_Funk_Tear_the_Roof_off_Sucker/?snr=1_241_4_casual_104_1170"
"222051","https://store.steampowered.com/app/222051/Rocksmith__Rick_James__Super_Freak/?snr=1_241_4_casual_104_1212"
"222052","https://store.steampowered.com/app/222052/Rocksmith__Chic__Good_Times/?snr=1_241_4_casual_104_1177"
"222053","https://store.steampowered.com/app/222053/Rocksmith__Rush__Headlong_Flight/?snr=1_241_4_casual_104_1212"
"222054","https://store.steampowered.com/app/222054/Rocksmith__Pantera__Cowboys_From_Hell/?snr=1_241_4_casual_104_1132"
"222055","https://store.steampowered.com/app/222055/Rocksmith__Pantera__Domination/?snr=1_241_4_casual_104_1228"
"222056","https://store.steampowered.com/app/222056/Rocksmith__Pantera__Walk/?snr=1_241_4_casual_104_1146"
"222058","https://store.steampowered.com/app/222058/Rocksmith__Nickelback__How_You_Remind_Me/?snr=1_241_4_casual_104_1368"
"222059","https://store.steampowered.com/app/222059/Rocksmith__Nickelback__Rockstar/?snr=1_241_4_casual_104_1217"
"222060","https://store.steampowered.com/app/222060/Rocksmith__Nickelback__Bottoms_Up/?snr=1_241_4_casual_104_1216"
"222062","https://store.steampowered.com/app/222062/Rocksmith__Foo_Fighters__Walk/?snr=1_241_4_casual_104_1228"
"222063","https://store.steampowered.com/app/222063/Rocksmith__Foo_Fighters__My_Hero/?snr=1_241_4_casual_104_1435"
"222064","https://store.steampowered.com/app/222064/Rocksmith__Foo_Fighters__Best_of_You/?snr=1_241_4_casual_104_1373"
"222065","https://store.steampowered.com/app/222065/Rocksmith__Foo_Fighters__Times_Likes_These/?snr=1_241_4_casual_104_1430"
"222066","https://store.steampowered.com/app/222066/Rocksmith__Foo_Fighters__Wheels/?snr=1_241_4_casual_104_1480"
"222069","https://store.steampowered.com/app/222069/Rocksmith__Santana__Oye_Como_Va/?snr=1_241_4_casual_104_1460"
"222070","https://store.steampowered.com/app/222070/Rocksmith__Santana__Black_Magic_Woman/?snr=1_241_4_casual_104_1131"
"222071","https://store.steampowered.com/app/222071/Rocksmith__Santana_Feat_Rob_Thomas__Smooth/?snr=1_241_4_casual_104_1378"
"222073","https://store.steampowered.com/app/222073/Rocksmith__Eric_Johnson__Cliffs_of_Dover/?snr=1_241_4_casual_104_1124"
"222074","https://store.steampowered.com/app/222074/Rocksmith__Pearl_Jam__Alive/?snr=1_241_4_casual_104_1436"
"222075","https://store.steampowered.com/app/222075/Rocksmith__Blind_Melon__No_Rain/?snr=1_241_4_casual_104_1208"
"222076","https://store.steampowered.com/app/222076/Rocksmith__The_Strokes__Reptilia/?snr=1_241_4_casual_104_1337"
"222077","https://store.steampowered.com/app/222077/Rocksmith__The_Strokes__Last_Nite/?snr=1_241_4_casual_104_1452"
"222078","https://store.steampowered.com/app/222078/Rocksmith__The_Strokes__Juicebox/?snr=1_241_4_casual_104_1438"
"222080","https://store.steampowered.com/app/222080/Rocksmith__The_Guess_Who__American_Woman/?snr=1_241_4_casual_104_1155"
"222081","https://store.steampowered.com/app/222081/Rocksmith__Steppenwolf__Born_to_be_Wild/?snr=1_241_4_casual_104_1140"
"222082","https://store.steampowered.com/app/222082/Rocksmith__Cheap_Trick__Surrender/?snr=1_241_4_casual_104_1167"
"222083","https://store.steampowered.com/app/222083/Rocksmith__Fall_Out_Boy__Sugar_Were_Goin_Down/?snr=1_241_4_casual_104_1366"
"222084","https://store.steampowered.com/app/222084/Rocksmith__Fall_Out_Boy__Dance_Dance/?snr=1_241_4_casual_104_1367"
"222085","https://store.steampowered.com/app/222085/Rocksmith__Fall_Out_Boy__Thnks_fr_th_Mmrs/?snr=1_241_4_casual_104_1355"
"222086","https://store.steampowered.com/app/222086/Rocksmith__Fall_Out_boy__I_Dont_Care/?snr=1_241_4_casual_104_1463"
"222087","https://store.steampowered.com/app/222087/Rocksmith__Fall_Out_Boy__Americas_Suitehearts/?snr=1_241_4_casual_104_1475"
"222089","https://store.steampowered.com/app/222089/Rocksmith__The_Clash__London_Calling/?snr=1_241_4_casual_104_1215"
